city,lat,Lon,temp,humidity,Wind_speed,Cloudiness,Country_code,Date
roma,43.21,-75.46,9.0,87,2.5,90,US,1602856868
wellington,-41.29,174.78,11.0,71,7.2,100,NZ,1602857001
creel,27.75,-107.63,11.0,49,2.45,8,MX,1602857099
wanaka,-44.7,169.15,5.95,83,2.33,100,NZ,1602856800
santa engracia,41.94,-1.32,16.0,36,7.7,19,ES,1602857100
rockford,42.27,-89.09,2.78,74,2.1,75,US,1602857100
ixtapa,20.7,-105.2,28.89,94,2.1,90,MX,1602857100
inuvik,68.35,-133.72,-6.0,85,4.6,90,CA,1602857100
okha,53.57,142.95,1.41,85,6.72,82,RU,1602856958
caravelas,-17.71,-39.25,24.3,87,3.49,99,BR,1602857100
chicama,-7.84,-79.15,16.0,87,3.1,90,PE,1602857100
kangaatsiaq,68.31,-53.46,4.6,79,6.64,100,GL,1602857101
sinnamary,5.38,-52.95,30.47,55,3.88,23,GF,1602857101
aripuana,-9.17,-60.63,34.04,41,2.17,1,BR,1602857101
bafra,41.57,35.91,26.0,54,3.1,0,TR,1602857101
dogondoutchi,13.64,4.03,38.68,17,2.63,3,NE,1602857063
ibiruba,-28.63,-53.09,24.38,48,4.7,0,BR,1602857101
avera,33.19,-82.53,20.0,94,4.1,1,US,1602857102
guane,22.2,-84.09,28.16,79,2.22,23,CU,1602857102
sabha,27.04,14.43,37.8,8,6.07,0,LY,1602857101
kyra,49.58,111.98,1.46,84,4.22,100,RU,1602857102
vysotsk,60.63,28.57,4.0,69,4.1,90,RU,1602857102
mana,5.66,-53.78,30.66,52,3.71,42,GF,1602857102
vestmannaeyjar,63.44,-20.27,8.0,65,5.1,20,IS,1602857103
thinadhoo,0.53,72.93,28.88,77,8.88,100,MV,1602856805
bandarbeyla,9.49,50.81,27.07,80,8.11,0,SO,1602857103
reci,45.85,25.93,18.89,93,2.68,100,RO,1602857103
laranjeiras do sul,-25.41,-52.42,23.91,57,1.92,0,BR,1602857103
savelugu,9.62,-0.83,34.41,48,0.55,18,GH,1602857103
mount isa,-20.73,139.5,24.0,31,3.86,0,AU,1602857104
shubarshi,48.59,57.19,14.77,36,3.24,99,KZ,1602857104
karla,59.37,24.93,7.22,65,2.6,75,EE,1602857104
luwingu,-10.26,29.93,30.75,24,3.95,0,ZM,1602857104
znamenskoye,57.13,73.83,8.7,62,5.39,65,RU,1602857104
bosaso,11.28,49.18,30.0,79,5.1,0,SO,1602857104
la rioja,42.25,-2.5,13.0,62,5.7,75,ES,1602856896
kenora,49.82,-94.43,-4.0,68,2.6,75,CA,1602857105
rio grande,-32.03,-52.1,18.69,76,6.68,100,BR,1602857105
mirnyy,62.54,113.96,-6.0,73,8.0,75,RU,1602857105
port-cartier,50.03,-66.87,8.0,93,2.6,90,CA,1602857105
abha,18.22,42.51,25.0,10,3.1,0,SA,1602857105
namibe,-15.2,12.15,27.0,65,7.7,53,AO,1602856896
los llanos de aridane,28.66,-17.92,24.0,69,3.1,75,ES,1602857057
zeerust,-25.54,26.08,34.0,14,2.1,20,ZA,1602857107
christchurch,-43.53,172.63,10.56,76,7.7,97,NZ,1602856909
saint-francois,46.42,3.91,11.11,76,3.6,90,FR,1602857107
arman,59.7,150.17,-1.14,85,0.98,0,RU,1602857107
kawhia,-38.07,174.82,5.0,83,1.74,1,NZ,1602857107
vila franca do campo,37.72,-25.43,21.0,77,4.6,75,PT,1602857108
honningsvag,70.98,25.97,3.0,69,3.1,75,NO,1602857108
denpasar,-8.65,115.22,27.0,78,2.6,20,ID,1602857067
nehe,48.48,124.83,3.18,72,5.08,0,CN,1602857108
grand gaube,-20.01,57.66,24.44,69,3.13,3,MU,1602857108
saucillo,28.02,-105.28,16.07,43,2.71,5,MX,1602857108
linxia,35.6,103.21,6.74,60,1.05,0,CN,1602857108
kalaleh,37.38,55.49,24.0,44,2.1,0,IR,1602857109
salinopolis,-0.61,-47.36,29.49,65,5.14,33,BR,1602857099
bajil,15.06,43.29,33.01,50,5.69,8,YE,1602857109
karratha,-20.74,116.85,22.51,64,7.7,0,AU,1602856838
qaqortoq,60.72,-46.03,12.0,30,8.7,40,GL,1602857109
colares,38.8,-9.45,20.0,52,4.6,20,PT,1602857109
huruta,8.15,39.35,20.99,52,3.69,12,ET,1602857110
terney,45.05,136.61,4.49,68,3.03,30,RU,1602857110
plavsk,53.71,37.29,8.96,91,3.28,97,RU,1602857110
tiruttani,13.18,79.61,31.0,62,3.1,40,IN,1602857110
marrakesh,31.63,-8.01,22.0,46,1.5,40,MA,1602856928
luwuk,-0.95,122.79,26.0,78,1.1,99,ID,1602857110
tokur,53.13,132.9,-4.33,93,2.4,98,RU,1602857110
tolaga bay,-38.37,178.3,6.88,82,1.9,3,NZ,1602857111
nyurba,63.28,118.33,-6.29,86,5.32,1,RU,1602857111
te anau,-45.42,167.72,4.03,91,1.74,99,NZ,1602856845
garissa,-0.45,39.64,33.91,36,9.23,2,KE,1602857111
letlhakeng,-24.09,25.03,33.77,12,4.76,0,BW,1602857111
brae,60.4,-1.35,9.0,81,4.6,75,GB,1602857111
pindobacu,-10.74,-40.36,30.44,34,3.73,17,BR,1602857111
meulaboh,4.14,96.13,26.1,83,0.48,77,ID,1602857111
ankang,32.68,109.02,11.11,40,3.13,2,CN,1602856910
karaton,-6.34,106.1,26.67,88,2.1,40,ID,1602857112
weiterstadt,49.91,8.6,12.22,66,5.7,75,DE,1602857112
alice springs,-23.7,133.88,25.0,27,3.6,0,AU,1602856825
beruwala,6.48,79.98,26.83,85,2.9,96,LK,1602857112
saint-leu,-21.15,55.28,26.0,69,4.6,48,RE,1602857112
emirdag,39.02,31.15,24.0,31,1.74,0,TR,1602857113
beyneu,45.32,55.2,16.19,31,2.85,21,KZ,1602857113
mahibadhoo,3.78,72.97,28.13,77,8.83,100,MV,1602857113
chandbali,20.78,86.77,26.76,82,1.61,0,IN,1602857100
minab,27.15,57.08,32.0,21,4.1,0,IR,1602857113
bemidji,47.47,-94.88,-1.67,63,5.1,1,US,1602857113
acajutla,13.59,-89.83,22.22,100,1.71,83,SV,1602856819
dingle,11.0,122.67,25.0,88,0.84,99,PH,1602857114
camopi,3.17,-52.32,33.64,34,2.18,11,GF,1602857114
yazman,29.12,71.74,29.94,13,3.18,75,PK,1602857114
kazachinskoye,57.7,93.28,-0.7,94,2.22,100,RU,1602857114
svetlogorsk,52.63,29.73,11.19,73,2.22,36,BY,1602857114
adrar,20.5,-10.07,36.68,10,4.43,0,MR,1602856896
dubasari,47.26,29.16,22.0,60,2.1,95,MD,1602857114
taitung,22.76,121.14,26.0,74,2.1,75,TW,1602857115
zaysan,47.47,84.87,7.31,53,1.46,0,KZ,1602857042
kavieng,-2.57,150.8,27.8,77,5.6,97,PG,1602857115
clarence town,-32.58,151.78,18.89,88,2.1,90,AU,1602857115
portland,45.52,-122.68,9.0,87,0.4,75,US,1602857115
sangar,63.92,127.47,-6.91,92,6.28,100,RU,1602857115
marzuq,14.4,46.47,27.42,15,6.95,0,YE,1602857116
nazas,25.23,-104.13,18.69,53,1.79,0,MX,1602857116
abu kamal,34.45,40.92,30.04,18,2.16,0,SY,1602857046
golden,39.76,-105.22,1.67,56,1.5,1,US,1602857116
teknaf,20.86,92.31,28.0,84,2.77,100,BD,1602857116
gombe,10.29,11.17,34.0,46,2.96,20,NG,1602857116
casino,-28.87,153.05,15.0,82,0.58,28,AU,1602857116
beatrice,40.27,-96.75,3.33,86,2.1,1,US,1602857117
andenes,69.31,16.12,5.0,86,7.2,75,NO,1602857117
damietta,31.42,31.81,29.0,62,3.6,0,EG,1602857117
uniao dos palmares,-9.16,-36.03,29.0,54,4.6,75,BR,1602857089
salvador,13.83,-88.92,26.0,94,1.5,75,SV,1602857117
fuyang,32.9,115.82,14.58,79,1.11,0,CN,1602856901
jieshi,22.81,115.83,24.68,78,7.72,30,CN,1602857111
suntar,62.14,117.63,-5.4,88,4.95,58,RU,1602857118
xining,36.62,101.77,4.87,64,1.22,0,CN,1602856844
tura,25.52,90.22,24.09,93,1.35,0,IN,1602857118
lata,40.16,-8.33,23.33,42,2.67,49,PT,1602857118
villa bruzual,9.33,-69.12,28.57,80,0.62,10,VE,1602857054
quatre cocos,-20.21,57.76,26.0,65,5.1,20,MU,1602857118
brownsville,25.9,-97.5,24.44,94,1.5,1,US,1602857118
seoul,37.57,126.98,11.0,76,1.35,1,KR,1602857184
pundaguitan,6.37,126.17,27.29,78,3.25,98,PH,1602857119
nizhnevartovsk,60.93,76.55,3.0,89,6.0,100,RU,1602857119
port-gentil,-0.72,8.78,29.0,66,7.2,75,GA,1602857119
richards bay,-28.78,32.04,22.31,70,4.57,94,ZA,1602857119
cabedelo,-6.98,-34.83,30.0,58,4.6,40,BR,1602857119
lempaala,61.32,23.75,6.11,76,2.1,75,FI,1602857119
kibre mengist,5.88,38.98,19.16,91,1.37,98,ET,1602857120
morlaix,48.58,-4.0,14.0,66,3.22,90,FR,1602857120
dauphin,51.15,-100.05,-5.0,62,3.6,90,CA,1602857120
awbari,26.59,12.78,38.38,8,8.39,0,LY,1602857099
quelimane,-17.88,36.89,28.0,61,5.7,40,MZ,1602857121
chipiona,36.74,-6.44,23.0,68,4.1,20,ES,1602857059
rawson,-43.3,-65.1,27.02,26,7.56,14,AR,1602856896
whitecourt,54.15,-115.69,-2.0,100,1.5,90,CA,1602857121
chuzhou,32.32,118.3,14.44,98,0.86,0,CN,1602857122
wagar,16.15,36.2,38.51,11,3.05,0,SD,1602857122
kavaratti,10.57,72.64,27.55,78,7.16,0,IN,1602856920
mayo,38.89,-76.51,12.78,100,4.1,90,US,1602857122
bocaiuva,-17.11,-43.81,32.19,36,3.24,0,BR,1602857094
jinchang,38.5,102.17,7.9,49,1.83,0,CN,1602856906
balud,10.15,123.7,28.0,83,1.5,40,PH,1602857122
dembi dolo,8.53,34.8,18.59,99,1.49,100,ET,1602857122
seddon,-37.81,144.89,15.56,93,3.6,90,AU,1602857051
palu,-0.89,119.87,24.75,78,1.31,99,ID,1602856910
isny,47.7,10.03,7.22,96,0.58,100,DE,1602857123
batemans bay,-35.72,150.18,12.78,94,2.18,100,AU,1602857123
bagdarin,54.43,113.6,-1.31,84,5.72,0,RU,1602857123
asyut,27.18,31.18,33.0,29,7.2,0,EG,1602857123
chernyshevskiy,63.01,112.47,-6.2,96,4.47,99,RU,1602857124
sambava,-14.27,50.17,25.3,66,5.43,0,MG,1602857124
altamira,-3.2,-52.21,33.8,46,2.43,0,BR,1602857099
khorixas,-20.37,14.97,37.61,11,3.14,82,NA,1602857124
broome,42.25,-75.83,9.44,93,3.6,90,US,1602857124
naze,28.37,129.48,23.0,88,1.0,20,JP,1602856921
lukovetskiy,64.3,41.92,3.0,93,2.0,90,RU,1602857124
evanston,42.04,-87.69,7.78,51,0.89,86,US,1602857125
hokitika,-42.72,170.97,8.52,90,2.59,100,NZ,1602856857
bodegraven,52.08,4.75,13.33,67,2.24,5,NL,1602857125
zarautz,43.28,-2.17,15.56,62,3.1,40,ES,1602857125
imeni poliny osipenko,52.42,136.49,0.37,84,2.39,72,RU,1602857125
marienburg,54.04,19.03,10.56,77,0.89,93,PL,1602857041
